POST. DATE, TRANSACTION, TAG/LICENSE, ENTRY DATE, ENTRY PLAZA, EXIT DATE, EXIT PLAZA, CLASS, AMOUNT
9/12/2022 12:54:42 AM, AWAY AGENCY TOLL,00605942662,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 1:47:28 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:42 AM, AWAY AGENCY TOLL,00605942676,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 2:12:21 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:42 AM, AWAY AGENCY TOLL,00605942435,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 2:20:14 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:43 AM, AWAY AGENCY TOLL,00605942645,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 2:59:38 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:43 AM, AWAY AGENCY TOLL,00605942692,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 3:33:41 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:43 AM, AWAY AGENCY TOLL,00605942631,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 3:41:35 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:44 AM, AWAY AGENCY TOLL,00605942451,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 4:42:47 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:44 AM, AWAY AGENCY TOLL,00605944454,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 4:51:47 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:45 AM, AWAY AGENCY TOLL,00605942695,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 5:53:24 PM,Delaware DOT - D95,4  ,7
9/12/2022 12:54:45 AM, AWAY AGENCY TOLL,00605942646,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 6:11:21 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:45 AM, AWAY AGENCY TOLL,00605944430,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 6:25:23 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:45 AM, AWAY AGENCY TOLL,00605942725,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 6:26:23 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:45 AM, AWAY AGENCY TOLL,00605942634,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 6:38:43 PM,Delaware DOT - D95,4  ,7
9/12/2022 12:54:45 AM, AWAY AGENCY TOLL,00605942723,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 6:39:25 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:45 AM, AWAY AGENCY TOLL,00605942666,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 6:48:40 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:45 AM, AWAY AGENCY TOLL,00605944397,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 7:03:21 PM,Delaware DOT - D95,3  ,6
9/12/2022 12:54:47 AM, AWAY AGENCY TOLL,00605944417,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 9:54:39 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:47 AM, AWAY AGENCY TOLL,00605942388,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 9:55:34 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:47 AM, AWAY AGENCY TOLL,00605944443,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 11:15:13 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:47 AM, AWAY AGENCY TOLL,00605942644,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 11:41:30 PM,Delaware DOT - D95,5  ,9
